Component;Description;Sug.Extra;Aft.Orders;Available;Committed;OnHand;OnOrder;Vendor
SS743079 ;BRACELET-10 STRANDED BRAIDED-7.5;      0 ;     13-;     13-;     60 ;     47 ;      0 ;1KARIZ ;
SS7722924;SSRH MENS 100 ROPE CHN 24";      1 ;      2-;      2-;     16 ;     14 ;      0 ;1KARIZ ;
SS7722985;SSRH ROPE CHN GAUGE 100 4.3MM;      0 ;      1-;      1-;     44 ;     43 ;      0 ;1KARIZ ;
SS7723024;SSRH MENS ROPE CHN 120 24";      0 ;      1-;     13-;     18 ;      5 ;     12 ;1KARIZ ;
SS9232622;SSRH MENS FLAT CRB CHN 150 22";      0 ;      3-;      3-;     47 ;     44 ;      0 ;1KARIZ ;
SS9325522;SSRH MENS 060 ROPE CHN 22";      6 ;      2-;      2-;     40 ;     38 ;      0 ;1KARIZ ;
SS9356322;CHAIN-150 SOLID CURB-22";      0 ;      1-;      1-;     17 ;     16 ;      0 ;1KARIZ ;
SS9356385;.4012 50 SOLID CURB-8.5" BRAC;      0 ;      1-;      5-;     42 ;     37 ;      4 ;1KARIZ ;
SS9611218;SSRH 100 POL FLT PPLINK CHN 18";      2 ;      1-;      1-;     34 ;     33 ;      0 ;1KARIZ ;
SV7127718;SS 20MILSGP RP 2.20MMX16+2EXT;      0 ;      9-;      9-;     49 ;     40 ;      0 ;1KARIZ ;
SV7128718;SS20MILSGP FLT CRB CHN 3.20MMX16+2"EXT;      0 ;      5-;      5-;     38 ;     33 ;      0 ;1KARIZ ;
SV7131218;SS 20MILSGP 2.8MM HRB CHN 16+2EXT;      0 ;      2-;      2-;     33 ;     31 ;      0 ;1KARIZ ;
SV7131475;SS 20MILS GP 2MM PPCLP CHN 6.5+1";      0 ;      1-;      1-;      9 ;      8 ;      0 ;1KARIZ ;
0041     ;HOOP-1X10MM ENDLESS;      0 ;    428-;    648-;   1052 ;    404 ;    220 ;1LEE'S ;
0042     ;HOOP-1X12 ENDLESS;      0 ;     40-;    410-;    770 ;    360 ;    370 ;1LEE'S ;
0049     ;HOOP-1X14 ENDLESS;      0 ;     73-;    260-;    474 ;    214 ;    187 ;1LEE'S ;
1012302  ;STUD -5MM PRL 10KT;      0 ;     80-;     80-;    782 ;    702 ;      0 ;1LEE'S ;
